code,name,window,date,close,volume,trading_value
051910,LG화학,기준일/2M,2025-11-13,419500,676571,278997459500
051910,LG화학,기준일/2M,2025-11-14,407500,338108,138934859250
051910,LG화학,기준일/2M,2025-11-17,402000,264512,107160246000
051910,LG화학,기준일/2M,2025-11-18,388000,333994,132232138348
051910,LG화학,기준일/2M,2025-11-19,390500,206165,79922568500
051910,LG화학,기준일/2M,2025-11-20,388500,174417,68233709250
051910,LG화학,기준일/2M,2025-11-21,367000,315503,116074340000
051910,LG화학,기준일/2M,2025-11-24,358500,319529,114681682250
051910,LG화학,기준일/2M,2025-11-25,363000,251051,91311820000
051910,LG화학,기준일/2M,2025-11-26,397000,504358,196277069250
051910,LG화학,기준일/2M,2025-11-27,395500,457285,180315982750
051910,LG화학,기준일/2M,2025-11-28,374000,401535,152757196500
051910,LG화학,기준일/2M,2025-12-01,372000,213121,79611395250
051910,LG화학,기준일/2M,2025-12-02,371500,178062,66239746750
051910,LG화학,기준일/2M,2025-12-03,380000,193648,73243196750
051910,LG화학,기준일/2M,2025-12-04,376000,229061,86362758000
051910,LG화학,기준일/2M,2025-12-05,381500,275857,104364082500
051910,LG화학,기준일/2M,2025-12-08,386500,237724,91136310250
051910,LG화학,기준일/2M,2025-12-09,379500,176352,67008226750
051910,LG화학,기준일/2M,2025-12-10,376000,192669,72869197000
051910,LG화학,기준일/2M,2025-12-11,365500,278618,102836919750
051910,LG화학,기준일/2M,2025-12-12,371500,173965,64338920750
051910,LG화학,기준일/2M,2025-12-15,369000,150033,55542257000
051910,LG화학,기준일/2M,2025-12-16,354000,258691,92360773500
051910,LG화학,기준일/2M,2025-12-17,364000,182526,66042497750
051910,LG화학,기준일/2M,2025-12-18,333000,439388,147633482500
051910,LG화학,기준일/2M,2025-12-19,338500,344256,114936384050
051910,LG화학,기준일/2M,2025-12-22,346000,157106,54427001500
051910,LG화학,기준일/2M,2025-12-23,345500,143777,49589916750
051910,LG화학,기준일/2M,2025-12-24,346000,105513,36443013000
051910,LG화학,기준일/2M,2025-12-26,336000,145837,49257352000
051910,LG화학,기준일/2M,2025-12-29,338500,139537,46843058250
051910,LG화학,기준일/2M,2025-12-30,333000,193822,64314072500
010950,S-Oil,평가일/2M,2026-02-19,110900,257229,28399888850
010950,S-Oil,평가일/2M,2026-02-20,120000,386103,45581670850
010950,S-Oil,평가일/2M,2026-02-23,114500,555607,63232938350
010950,S-Oil,평가일/2M,2026-02-24,114100,418446,47408665550
010950,S-Oil,평가일/2M,2026-02-25,112600,265424,29945311100
010950,S-Oil,평가일/2M,2026-02-26,113700,319138,36147260550
010950,S-Oil,평가일/2M,2026-02-27,110000,523395,57393260300
010950,S-Oil,평가일/2M,2026-03-03,141300,4261597,576820937050
010950,S-Oil,평가일/2M,2026-03-04,126500,10815571,1633890644300
010950,S-Oil,평가일/2M,2026-03-05,134700,5004431,637060074250
010950,S-Oil,평가일/2M,2026-03-06,129700,2619819,339779324950
010950,S-Oil,평가일/2M,2026-03-09,128700,2642463,346829893050
010950,S-Oil,평가일/2M,2026-03-10,117900,1497393,178189032000
010950,S-Oil,평가일/2M,2026-03-11,114600,1822406,208317408950
010950,S-Oil,평가일/2M,2026-03-12,118000,1155363,135282538950
010950,S-Oil,평가일/2M,2026-03-13,108000,1297882,144866666600
010950,S-Oil,평가일/2M,2026-03-16,105400,650853,69189690400
010950,S-Oil,평가일/2M,2026-03-17,106500,690457,73559455600
010950,S-Oil,평가일/2M,2026-03-18,110600,831455,91448825450
010950,S-Oil,평가일/2M,2026-03-19,111200,713012,79417381400
010950,S-Oil,평가일/2M,2026-03-20,111800,615278,69216965150
